time	x4
0.055555556	0.017842075
0.111111111	0.017551037
0.166666667	0.017159392
0.222222222	0.016380524
0.277777778	0.015793263
0.333333333	0.015459758
0.388888889	0.015294359
0.444444444	0.015302011
0.5	0.015060578
0.555555556	0.015940845
0.611111111	0.01829886
0.666666667	0.018385871
0.722222222	0.01831512
0.777777778	0.017984124
0.833333333	0.017839633
0.888888889	0.017370575
0.944444444	0.01718726
1	0.016460926
1.055555556	0.015999853
1.111111111	0.015816256
1.166666667	0.015556985
1.222222222	0.015477886
1.277777778	0.014775273
1.333333333	0.01560701
1.388888889	0.017542452
1.444444444	0.018551024
1.5	0.01797646
1.555555556	0.017649178
1.611111111	0.017140226
1.666666667	0.017205787
1.722222222	0.016956914
1.777777778	0.01577778
1.833333333	0.015522975
1.888888889	0.015391851
1.944444444	0.014928716
2	0.014644364
2.055555556	0.014524035
2.111111111	0.015381625
2.166666667	0.017548952
2.222222222	0.017589623
2.277777778	0.017637823
2.333333333	0.017290824
2.388888889	0.017051342
2.444444444	0.016817739
2.5	0.016583801
2.555555556	0.016159258
2.611111111	0.015357077
2.666666667	0.015150924
2.722222222	0.015050637
2.777777778	0.014838834
2.833333333	0.015344116
2.888888889	0.017173689
2.944444444	0.018526089
3	0.01840093
3.055555556	0.017499085
3.111111111	0.017643119
3.166666667	0.017546717
3.222222222	0.017130276
3.277777778	0.016650379
3.333333333	0.016339451
3.388888889	0.01600055
3.444444444	0.015910922
3.5	0.015250853
3.555555556	0.016955701
3.611111111	0.017985556
3.666666667	0.018554486
3.722222222	0.018492881
3.777777778	0.018043646
3.833333333	0.017780845
3.888888889	0.01779508
3.944444444	0.017405245
4	0.016786857
4.055555556	0.016503889
4.111111111	0.016412317
4.166666667	0.015809306
4.222222222	0.017160476
4.277777778	0.018565811
4.333333333	0.019000804
4.388888889	0.018459183
4.444444444	0.018543039
4.5	0.01875602
4.555555556	0.018440432
4.611111111	0.01799828
4.666666667	0.017640718
4.722222222	0.017337071
4.777777778	0.01705856
4.833333333	0.016672698
4.888888889	0.017540294
4.944444444	0.018845771
5	0.01974636
5.055555556	0.01930373
5.111111111	0.018787993
5.166666667	0.019430664
5.222222222	0.018869078
5.277777778	0.019073914
5.333333333	0.018420052
5.388888889	0.018351145
5.444444444	0.018075359
5.5	0.017804699
5.555555556	0.017237533
5.611111111	0.018202258
5.666666667	0.019370285
5.722222222	0.01952744
5.777777778	0.0194677
5.833333333	0.01948813
5.888888889	0.018827922
5.944444444	0.018960346
6	0.018906945
6.055555556	0.018682402
6.111111111	0.018254132
6.166666667	0.017793027
6.222222222	0.017750717
6.277777778	0.017659187
6.333333333	0.017163689
6.388888889	0.018540306
6.444444444	0.019374651
6.5	0.019939868
6.555555556	0.019782815
6.611111111	0.0197542
6.666666667	0.019344165
6.722222222	0.019196193
6.777777778	0.019265405
6.833333333	0.018400457
6.888888889	0.018762608
6.944444444	0.017750502
7	0.017741472
7.055555556	0.017501796
7.111111111	0.017023375
7.166666667	0.018060885
7.222222222	0.019506911
7.277777778	0.019904253
7.333333333	0.019435347
7.388888889	0.01927626
7.444444444	0.018952043
7.5	0.019352491
7.555555556	0.019202803
7.611111111	0.018676424
7.666666667	0.018270899
7.722222222	0.018604467
7.777777778	0.018200204
7.833333333	0.018186518
7.888888889	0.017946063
7.944444444	0.017609025
8	0.019428997
8.055555556	0.020268094
8.111111111	0.019988475
8.166666667	0.020167951
8.222222222	0.019714482
8.277777778	0.019758213
8.333333333	0.019631012
8.388888889	0.019168147
8.444444444	0.018613456
8.5	0.018308621
8.555555556	0.018232381
8.611111111	0.018211011
8.666666667	0.017418359
8.722222222	0.017349748
8.777777778	0.018313226
8.833333333	0.019709627
8.888888889	0.019534032
8.944444444	0.019770445
9	0.019406275
9.055555556	0.019104025
9.111111111	0.018758607
9.166666667	0.018579255
9.222222222	0.018270273
9.277777778	0.017759002
9.333333333	0.018347588
9.388888889	0.017665736
9.444444444	0.017354519
9.5	0.017044964
9.555555556	0.017487565
9.611111111	0.018872052
9.666666667	0.019760714
9.722222222	0.019268598
9.777777778	0.019111442
9.833333333	0.019258099
9.888888889	0.019031686
9.944444444	0.018608048
10	0.018091034
10.05555556	0.017458369
10.11111111	0.017132427
10.16666667	0.016881011
10.22222222	0.01639633
10.27777778	0.016103672
10.33333333	0.016661486
10.38888889	0.018845801
10.44444444	0.018688166
10.5	0.018398216
10.55555556	0.018245442
10.61111111	0.018171539
10.66666667	0.017747545
10.72222222	0.017222827
10.77777778	0.016695531
10.83333333	0.016459702
10.88888889	0.015746797
10.94444444	0.015655999
11	0.015271478
11.05555556	0.015635817
11.11111111	0.017808862
11.16666667	0.018359167
11.22222222	0.018079197
11.27777778	0.016810909
11.33333333	0.016780163
11.38888889	0.016852038
11.44444444	0.016484876
11.5	0.015809653
11.55555556	0.01583021
11.61111111	0.015600279
11.66666667	0.015809643
11.72222222	0.015584676
11.77777778	0.016305275
11.83333333	0.018158617
11.88888889	0.018427511
11.94444444	0.018243613
12	0.017995441
12.05555556	0.017732994
12.11111111	0.017394538
12.16666667	0.017005544
12.22222222	0.01701455
12.27777778	0.016588835
12.33333333	0.016407978
12.38888889	0.015918862
12.44444444	0.01686504
12.5	0.01844993
12.55555556	0.018760018
12.61111111	0.018662964
12.66666667	0.019096767
12.72222222	0.01899144
12.77777778	0.01840356
12.83333333	0.01829209
12.88888889	0.018092102
12.94444444	0.017419628
13	0.01712406
13.05555556	0.016737871
13.11111111	0.017904568
13.16666667	0.01900582
13.22222222	0.01914092
13.27777778	0.019200363
13.33333333	0.019273952
13.38888889	0.019077597
13.44444444	0.018651765
13.5	0.018839369
13.55555556	0.018346286
13.61111111	0.017924085
13.66666667	0.018086089
13.72222222	0.017691343
13.77777778	0.019195192
13.83333333	0.019814108
13.88888889	0.020139948
13.94444444	0.019749101
14	0.020221278
14.05555556	0.019466752
14.11111111	0.019502676
14.16666667	0.019277205
14.22222222	0.018453437
14.27777778	0.018723683
14.33333333	0.018285764
14.38888889	0.018131585
14.44444444	0.018106239
14.5	0.019035135
14.55555556	0.021189928
14.61111111	0.020478303
14.66666667	0.019986532
14.72222222	0.020002308
14.77777778	0.020016347
14.83333333	0.019945513
14.88888889	0.019199255
14.94444444	0.019666209
15	0.019033661
15.05555556	0.018815295
15.11111111	0.018437607
15.16666667	0.017958851
15.22222222	0.017559322
15.27777778	0.018405329
15.33333333	0.019719854
15.38888889	0.020125419
15.44444444	0.019758125
15.5	0.019538724
15.55555556	0.019342529
15.61111111	0.019556042
15.66666667	0.019150202
15.72222222	0.018735562
15.77777778	0.01882737
15.83333333	0.018643698
15.88888889	0.018281202
15.94444444	0.018023528
16	0.017662728
16.05555556	0.017483641
16.11111111	0.019143275
16.16666667	0.02003034
16.22222222	0.019453911
16.27777778	0.01988081
16.33333333	0.019300292
16.38888889	0.019298959
16.44444444	0.019393052
16.5	0.018805001
16.55555556	0.01864728
16.61111111	0.018456823
16.66666667	0.018346475
16.72222222	0.017618746
16.77777778	0.017406714
16.83333333	0.017227846
16.88888889	0.017569388
16.94444444	0.020071656
17	0.020148925
17.05555556	0.019778674
17.11111111	0.019561328
17.16666667	0.019549903
17.22222222	0.019039571
17.27777778	0.018810125
17.33333333	0.018275918
17.38888889	0.017368745
17.44444444	0.017364204
17.5	0.017200889
